# Mayer Sampling Monte Carlo calculation of virial coefficients on graphics processors
# Andrew J. Schultz, Nathaniel S. Barlow, Vipin Chaudhary and David A. Kofke
# Molecular Physics Vol 111 No. 4  2013  535-543
# T      B6         e(B6)
0.62    -2.0314e6   17e2
0.64    -1.1766e6   10e2
0.66    -6.958e5    6e2 
0.68    -4.205e5    4e2
0.70    -2.589e5    2e2
0.72    -1.6131e5   160
0.74    -1.0241e5   110
0.76    -6.571e4    70
0.78    -4.261e4    50
0.80    -2.798e4    40
0.82    -1.853e4    30
0.84    -1.233e4    20
0.86    -8.331e3    15
0.88    -5.611e3    11
0.90    -3813       9
0.92    -2612       7
0.94    -1777       5
0.96    -1213       4
0.98    -836        3
1.00    -580        3
1.02    -395        2
1.04    -270.6      1.8
1.06    -187.0      1.4
1.08    -127.0      1.2
1.10    -88.5       0.7
1.12    -61.5       0.5
1.14    -41.8       0.4
1.16    -28.8       0.3
1.18    -20.7       0.2
1.20    -14.9       0.2
1.22    -11.31      0.17
1.24    -9.11       0.14
1.26    -7.23       0.11
1.28    -6.40       0.10
1.30    -6.09       0.08
1.32    -5.77       0.07
1.34    -5.58       0.07
1.36    -5.35       0.06
1.40    -5.25       0.05
1.44    -4.90       0.05
1.48    -4.63       0.05
1.52    -4.26       0.04
1.56    -3.73       0.03
1.60    -3.28       0.03
1.64    -2.74       0.03
1.68    -2.23       0.02
1.72    -1.766      0.019      
1.76    -1.29       0.02
1.80    -0.88       0.02
1.84    -0.510      0.017
1.88    -0.142      0.015
1.92     0.131      0.013
1.96     0.420      0.011
2        0.669      0.010
2.1      1.135      0.008
2.2      1.461      0.006
2.3      1.688      0.005
2.4      1.829      0.004
2.5      1.901      0.003
2.6      1.941      0.003
2.7      1.943      0.002
2.8      1.9260     0.0018
2.9      1.8934     0.0015
3.0      1.8547     0.0013
3.1      1.8047     0.0012
3.2      1.7535     0.0010
3.3      1.6995     0.0009
3.4      1.6475     0.0008
3.5      1.5921     0.0008
3.6      1.5402     0.0007
3.7      1.4887     0.0006
3.8      1.4384     0.0006
3.9      1.3909     0.0006
4.0      1.3458     0.0005
4.2      1.2586     0.0011
4.4      1.1804     0.0010
4.8      1.0429     0.0009
5.2      0.9292     0.0006
5.6      0.8347     0.0005
6.0      0.7550     0.0004
7.0      0.6035     0.0003
8.0      0.4972     0.0002
9.0      0.41994    0.00019
10       0.36073    0.00016
12       0.27814    0.00012
14       0.22375    0.00009
18       0.15705    0.00006
24       0.10531    0.00004
30       0.07738    0.00003
40       0.05225    0.00002

